Model,Acc@1,Acc@5
AlexNet,56.522,79.066
VGG-11,69.02,88.628
VGG-13,69.928,89.246
VGG-16,71.592,90.382
VGG-19,72.376,90.876
VGG-11 with batch normalization,70.37,89.81
VGG-13 with batch normalization,71.586,90.374
VGG-16 with batch normalization,73.36,91.516
VGG-19 with batch normalization,74.218,91.842
ResNet-18,69.758,89.078
ResNet-34,73.314,91.42
ResNet-50,76.13,92.862
ResNet-101,77.374,93.546
ResNet-152,78.312,94.046
SqueezeNet 1.0,58.092,80.42
SqueezeNet 1.1,58.178,80.624
Densenet-121,74.434,91.972
Densenet-169,75.6,92.806
Densenet-201,76.896,93.37
Densenet-161,77.138,93.56
Inception v3,77.294,93.45
GoogleNet,69.778,89.53
ShuffleNet V2 x1.0,69.362,88.316
ShuffleNet V2 x0.5,60.552,81.746
MobileNet V2,71.878,90.286
MobileNet V3 Large,74.042,91.34
MobileNet V3 Small,67.668,87.402
ResNeXt-50-32x4d,77.618,93.698
ResNeXt-101-32x8d,79.312,94.526
Wide ResNet-50-2,78.468,94.086
Wide ResNet-101-2,78.848,94.284
MNASNet 1.0,73.456,91.51
MNASNet 0.5,67.734,87.49
EfficientNet-B0,77.692,93.532
EfficientNet-B1,78.642,94.186
EfficientNet-B2,80.608,95.31
EfficientNet-B3,82.008,96.054
EfficientNet-B4,83.384,96.594
EfficientNet-B5,83.444,96.628
EfficientNet-B6,84.008,96.916
EfficientNet-B7,84.122,96.908
regnet_x_400mf,72.834,90.95
regnet_x_800mf,75.212,92.348
regnet_x_1_6gf,77.04,93.44
regnet_x_3_2gf,78.364,93.992
regnet_x_8gf,79.344,94.686
regnet_x_16gf,80.058,94.944
regnet_x_32gf,80.622,95.248
regnet_y_400mf,74.046,91.716
regnet_y_800mf,76.42,93.136
regnet_y_1_6gf,77.95,93.966
regnet_y_3_2gf,78.948,94.576
regnet_y_8gf,80.032,95.048
regnet_y_16gf,80.424,95.24
regnet_y_32gf,80.878,95.34
vit_b_16,81.072,95.318
vit_b_32,75.912,92.466
vit_l_16,79.662,94.638
vit_l_32,76.972,93.07
convnext_tiny,82.52,96.146
convnext_small,83.616,96.65
convnext_base,84.062,96.87
convnext_large,84.414,96.976